artist,title,song_id,sp_id
BIBI,Derre,1072,02mGPF4589DiiSdoH0pu1d
N.Flying,Into You,1079,049uXN76j7jCn0OrQiSDCm
aespa,Set The Tone,1075,27LqJ29VMqwKQQC2CE9FHr
PLAVE,What If,1057,0CN7xUFQbPRzffogC4FgBR
IU,I stan U,1067,0NnXG9qhpf0E6elVQdWLE7
BABYMONSTER,CLIK CLAK,1097,0Rq9lIn9fl4wiW9Tg72ifr
Loopy,OTL (OFF THE LEASH),1062,0Yox4FlUiFAtWVrSJhPheU
i-dle,Super Lady,1050,105qee9D4ARiRZPZDvGDoH
BSS,The Reasons of My Smiles,1061,1amowbJ9HHFFSFdg2ubM7G
IU,Shopper,1054,1c6kkrWnpy68eYDfBdxNtF
TAEYEON,Heaven,1099,1fCKxY62wMnayTNSr3S3GN
TAEYONG,TAP,1087,1JxRZB6gjp3nsn2jUIaXMs
YANGHONGWON,ENGLAND,1069,1RF5Sh64ddycjZJ5WGLWZr
TAEYEON,Letter To Myself,1060,1Uxr0oBXAZRuLkAz27TkLc
DOYOUNG,Little Light,1055,1Y5D7m2QtyBdvwvY3gAVNQ
WENDY,Wish You Hell,1090,1zC3wpW5qU7n6KVrBlbAah
KEY,Pleasure Shop,1098,2022n4pxaEaDC2YvzVl1w7
IU,"Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim)",1071,20uUaRkfRJZG15mXfn7LaU
HOMIES,NOSAE NOSAE,1083,2SBnYX6QFYotZEeVgxr0nv
ATEEZ,WORK,1096,2v5P8pSXa4fdaTHWvJexwl
DEAN,NASA,1065,2y3opu08ybnMRziQFdvcZv
Lee Mujin,Coming Of Age Story,1051,2ZTU8atPwouhoQSvxv9aQj
Tabber,Chi-Ka,1080,3aUySszCHEifnEOqm0nCKr
MEOVV,BODY,1066,3I3pAp1C20ZmSO0g8r4yXW
FIFTY FIFTY,SOS,1074,3X76Lal4GwBFqriHz1FbLU
KISS OF LIFE,Nothing,1086,3ym9bzwGG4uxVaJ0pLoQbM
YANGHONGWON,GOSLOW,1082,45LdjIY5Ot4SAxOKfmcG2J
RIIZE,One Kiss,1081,4aShw2oGVO55cXxFGu7MM7
QWER,FAKE IDOL,1070,4eF3keUr7n9TXSl4NaZQOS
NCT DREAM,Smoothie,1059,4FHK9yx0aji18DiEkC9USz
aespa,Flowers,1094,4u9cOL7R5OjAmlWkeEFXzf
ECLIPSE,Run Run,1063,5EBtIi8j2ARUCwxzB5gc82
CHANGMO,No Tomorrow - Spotify Singles,1085,5eC84hN3UbRhSfnJLdUNLv
Paul Kim,Can't Get Over You,1092,5F3032rq3MJG7cDjRtj0wo
BIG Naughty,Sunkissed (Feat. MARK of NCT),1089,5fgjRRJwE86CpvnZvR3bM6
Jay Park,Taxi Blurr (Feat. NATTY of KISS OF LIFE),1068,5iBhtYfyShGBAxx1Zf8Qos
aespa,Licorice,1093,4iSiRU5nGU7EP5TbkEEcsj
NCT 127,Walk,1053,5o5mfjvxzxRChb45hbWuuw
YANGHONGWON,24YB (Intro),1095,5VFCXa64nmh1ivo8cKmqjy
KISS OF LIFE,Te Quiero,1084,5yilfTuo2JyDZUoBPQ4Vjs
Roy Kim,If You Ask Me What Love Is,1078,5zsMOF3yWT4U1Vw5eaMQFH
aespa,BAHAMA,1091,67yDGKXKIkyBhwbey8AmEU
TAEMIN,Sexy In The Air,1064,688HHZKdMymemA6FkraDuJ
Heize,Hold Me Back,1058,69Bx1c9Hzv7IZGkLyFCeMw
MEOVV,TOXIC,1077,6wuXJQJvMKtLXeN1tEYmHh
KISS OF LIFE,R.E.M,1076,7D2B5pj751b3MIaU4TwE6e
aespa,Kill It,1088,7dYEUpcXJLDcI22m0dgmnH
BABYMONSTER,LIKE THAT,1052,7GDgpad2BQVuDUzaxHFakc
YANGHONGWON,JEALOUSYVALHALLA,1056,7JxPQzxhJSsBBNu1D76ig2
KISS OF LIFE,Get Loud,1073,7zi7dD55ORKCGEjDNwSa1n
